"Date","Time","Open","High","Low","Close","Vol","OI","Volume"
01/04/2019,15:00,6.19,6.40,6.13,6.36,9405574,0,9405574.00
01/07/2019,15:00,6.41,6.59,6.31,6.50,9709046,0,9709046.00
01/08/2019,15:00,6.57,6.58,6.17,6.40,9603777,0,9603777.00
01/09/2019,15:00,6.41,6.69,6.35,6.63,11489874,0,11489874.00
01/10/2019,15:00,6.68,6.73,6.41,6.66,11221122,0,11221122.00
01/11/2019,15:00,6.55,6.62,6.48,6.59,6902293,0,6902293.00
01/14/2019,15:00,6.51,7.15,6.37,6.80,19454079,0,19454079.00
01/15/2019,15:00,6.85,7.07,6.75,6.82,12632982,0,12632982.00
01/16/2019,15:00,6.85,6.90,6.68,6.71,6941150,0,6941150.00
01/17/2019,15:00,6.70,6.88,6.53,6.81,8508909,0,8508909.00
01/18/2019,15:00,6.89,6.91,6.68,6.71,9240851,0,9240851.00
01/22/2019,15:00,6.63,6.67,6.51,6.57,6379619,0,6379619.00
01/23/2019,15:00,6.63,6.79,6.47,6.55,5685964,0,5685964.00
01/24/2019,15:00,6.52,6.75,6.47,6.58,5919985,0,5919985.00
01/25/2019,15:00,6.65,6.78,6.60,6.65,6726949,0,6726949.00
01/28/2019,15:00,6.56,6.68,6.48,6.67,5111018,0,5111018.00
01/29/2019,15:00,6.68,6.97,6.64,6.94,14200087,0,14200087.00
01/30/2019,15:00,6.94,7.55,6.92,7.46,28775026,0,28775026.00
01/31/2019,15:00,7.40,7.89,7.40,7.88,21233857,0,21233857.00
02/01/2019,15:00,7.85,8.11,7.68,7.90,20788847,0,20788847.00
02/04/2019,15:00,7.96,7.98,7.74,7.85,8585348,0,8585348.00
02/05/2019,15:00,7.78,7.96,7.61,7.88,9029887,0,9029887.00
02/06/2019,15:00,7.95,8.59,7.83,8.40,33404746,0,33404746.00
02/07/2019,15:00,8.28,8.37,7.80,8.04,23198212,0,23198212.00
02/08/2019,15:00,7.95,8.00,7.28,7.67,21709346,0,21709346.00
02/11/2019,15:00,7.71,7.77,7.38,7.46,9750733,0,9750733.00
02/12/2019,15:00,7.42,7.57,7.14,7.44,13264105,0,13264105.00
02/13/2019,15:00,7.52,7.68,7.39,7.49,10867810,0,10867810.00
02/14/2019,15:00,7.70,7.78,7.42,7.48,14728317,0,14728317.00
02/15/2019,15:00,7.55,7.64,7.26,7.41,15620191,0,15620191.00
02/19/2019,15:00,7.40,7.43,7.21,7.26,9974748,0,9974748.00
02/20/2019,15:00,7.26,7.77,7.26,7.62,21495721,0,21495721.00
02/21/2019,15:00,7.70,7.73,7.43,7.64,8060138,0,8060138.00
02/22/2019,15:00,7.92,8.22,7.75,8.17,26600350,0,26600350.00
02/25/2019,15:00,9.04,9.09,8.60,9.00,52424249,0,52424249.00
02/26/2019,15:00,9.16,10.64,8.82,9.79,106022591,0,106022591.00
02/27/2019,15:00,10.15,10.25,9.33,9.85,53234270,0,53234270.00
02/28/2019,15:00,9.85,9.93,9.46,9.57,26506014,0,26506014.00
03/01/2019,15:00,9.82,10.20,9.73,10.06,32409414,0,32409414.00
03/04/2019,15:00,10.32,10.37,9.15,9.78,43753280,0,43753280.00
03/05/2019,15:00,9.80,10.63,9.70,10.16,53680765,0,53680765.00
03/06/2019,15:00,8.26,8.72,8.00,8.01,73522653,0,73522653.00
03/07/2019,15:00,7.81,7.95,7.00,7.09,52469571,0,52469571.00
03/08/2019,15:00,7.02,7.20,6.85,7.06,32040585,0,32040585.00
